mode,width,height,window_size,C,mpi_processes,omp_threads,time_seconds
mpi1_omp1,4000,3000,15,5,1,1,0.447554
mpi1_omp2,4000,3000,15,5,1,2,0.298191
mpi1_omp3,4000,3000,15,5,1,3,0.248575
mpi1_omp4,4000,3000,15,5,1,4,0.225037
mpi2_omp1,4000,3000,15,5,2,1,0.332332
mpi2_omp2,4000,3000,15,5,2,2,0.291344
mpi2_omp3,4000,3000,15,5,2,3,0.256693
mpi2_omp4,4000,3000,15,5,2,4,0.234443
mpi4_omp1,4000,3000,15,5,4,1,0.276115
mpi4_omp2,4000,3000,15,5,4,2,0.256231
mpi4_omp3,4000,3000,15,5,4,3,0.236138
mpi4_omp4,4000,3000,15,5,4,4,0.225584
mpi8_omp1,4000,3000,15,5,8,1,0.277556
mpi8_omp2,4000,3000,15,5,8,2,0.248557
mpi8_omp3,4000,3000,15,5,8,3,0.239433
mpi8_omp4,4000,3000,15,5,8,4,0.23417
